Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Hip,0,-0.0657500000000001,0,0,0,0,0.518480597566825,0.000549470614950559,-1.83732071021993E-36,0,0.00052496160503641,8.15674912065134E-37,0.000549470614950559,0,0,0,0,0,0,package://LEGR/meshes/Hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Hip.STL,,LEGR F Motor-2,Hip_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Upper_Body,-0.0699544680866373,1.22481588930162E-05,-0.016670267249465,0,0,0,27.7545033299824,1.02010359240724,-1.09313760462169E-07,0.000240853820522352,0.840060709146905,0.000104534186117496,0.273757156688419,0,0,0,0,0,0,package://LEGR/meshes/Upper_Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Upper_Body.STL,,LEGR Upper Body-1;LEGR F Motor Housing X-1;LEGR F Motor Housing X-2,Upper_Body_Coordinate_System,Axis_Upper_Body,Upper_Body,fixed,0.0699999999999998,0,0.359410275400906,3.14159265358979,0,0,Hip,0,0,0,,,,,,,,,,,,
Flexion_R,-0.0933671460265784,-0.0979608401676104,1.17708065294764E-07,0,0,0,1.44233474114918,0.00332782279239087,0.00101157066507014,-5.3666407851099E-09,0.00443463569987751,9.71024055846825E-09,0.00476699071155774,0,0,0,0,0,0,package://LEGR/meshes/Flexion_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Flexion_R.STL,,LEGR A Motor-1;LEGR A Motor Housing X-1,Hip_Coordinate_System,F_Axis_R,F_R,revolute,0,0,0,0,0,0,Hip,0,1,0,222,2.93,-1.57,1.57,,,,,,,,
Abduction_R,-0.0822040490889351,0.0345,-0.0638966265425073,0,0,0,0.722279981913388,0.00234373825904436,-5.65101762136744E-19,0.0015132212552273,0.00595516879259536,-4.13370959996044E-20,0.00572728176818476,0,0,0,0,0,0,package://LEGR/meshes/Abduction_R.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Abduction_R.STL,,LEGR R Motor Housing-1,A_Coordinate System_R,A_Axis_R,A_R,revolute,0,-0.12,0,0,0,0,Flexion_R,-1,0,0,120,17.488,0.1745,-0.7854,,,,,,,,
Rotation_R,-0.00492083504904506,1.30921760738379E-05,0.0463344944581505,0,0,0,1.44248138871196,0.00273251479278457,-1.04290732708722E-07,0.000370616735369085,0.00287124977941731,-9.07320675796581E-07,0.00283438631947682,0,0,0,0,0,0,package://LEGR/meshes/Rotation_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Rotation_R.STL,,LEGR R Motor-2;LEGR Thigh-1;LEGR Knee Motor-1,Thigh_Coordinate_System_R,R_Axis_R,R_R,revolute,0,0.0345,-0.141,3.14159265358979,0,3.14159265358979,Abduction_R,0,0,1,60,18.85,-3.1415,3.1415,,,,,,,,
Calf_R,-0.00264406421063712,0.0611733687520314,-0.164093531357499,0,0,0,2.78275474946605,0.0252612472548975,-7.79067745203157E-07,-0.000374661304279708,0.0252796388579665,-4.16195898257555E-05,0.00772981792688356,0,0,0,0,0,0,package://LEGR/meshes/Calf_R.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Calf_R.STL,,LEGR Calf Shell-1;LEGR Top Ankle Motor-2;LEGR Bottom Ankle Motor-3,Calf_Coordinate_System_R,Knee_Axis_R,Knee_R,revolute,0,-0.061,0.181001210671794,3.14159265358979,0,3.14159265358979,Rotation_R,0,-1,0,222,2.93,0,1.0472,,,,,,,,
Universal_Roll_R,-1.29934063508585E-10,-2.14348409052594E-07,0.0299010093092331,0,0,0,0.24334410427355,0.000267985027545248,-1.70796236509871E-11,-4.63113246714869E-12,0.000289452319590034,5.31582942589484E-12,0.000157832093058896,0,0,0,0,0,0,package://LEGR/meshes/Universal_Roll_R.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Universal_Roll_R.STL,,LEGR Universal Joint-2,Ankle_Coordinate_System_R,Ankle_Roll_Axis_R,U_R_R,revolute,0,0.0610002142022335,-0.333411729469431,3.14159265358979,0,3.14159265358979,Calf_R,1,0,0,120,18.85,0.7854,-0.7854,,,,,,,,
Foot_R,0.0598617927444527,2.38831173222757E-06,0.0287102806905619,0,0,0,1.5066129434386,0.00210335176155756,-1.66784800173222E-18,2.46680887023512E-05,0.0070723154785942,1.16390308471617E-18,0.00815282787440377,0,0,0,0,0,0,package://LEGR/meshes/Foot_R.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Foot_R.STL,,LEGR Foot-2,Foot_Coordinate_System_R,Ankle_Pitch_Axis_R,U_P_R,revolute,0,0,0.0631508128084964,0,0,3.14159265358979,Universal_Roll_R,0,-1,0,120,18.85,-0.7854,0.5236,,,,,,,,
Flexion_L,-0.0644248295777232,3.7470027081099E-16,2.22044604925031E-16,0,0,0,1.61797932437096,0.00437560330051243,-4.98732999343332E-18,2.14095022044037E-19,0.0073982218963487,1.94204811152001E-08,0.00806293191970915,0,0,0,0,0,0,package://LEGR/meshes/Flexion_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Flexion_L.STL,,LEGR A Motor Housing X-2;LEGR A Motor Housing X-1,Hip_Coordinate_System,F_Axis_L,F_L,revolute,0,0,0,0,0,0,Hip,0,1,0,222,2.93,1.57,-1.57,,,,,,,,
Abduction_L,0.0822040490889353,-0.0345000000000001,0.0638966265425075,0,0,0,0.722279981913388,0.00234373825904436,-9.74564888879635E-20,0.0015132212552273,0.00595516879259536,-2.17124368948612E-19,0.00572728176818476,0,0,0,0,0,0,package://LEGR/meshes/Abduction_L.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Abduction_L.STL,,LEGR R Motor Housing-3,A_Coordinate_System_L,A_Axis_L,A_L,revolute,0,0.12,0,3.14159265358979,0,3.14159265358979,Flexion_L,1,0,0,120,17.488,-0.7854,0.1745,,,,,,,,
Rotation_L,-0.00492083504904506,1.3092176073537E-05,0.0282381387548195,0,0,0,1.44248138871196,0.00273251479278457,-1.0429073271178E-07,0.00037061673536908,0.00287124977941733,-9.07320675804238E-07,0.00283438631947683,0,0,0,0,0,0,package://LEGR/meshes/Rotation_L.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Rotation_L.STL,,LEGR Thigh-2;LEGR R Motor-3;LEGR Knee Motor-2,Thigh_Coordinate_System_L,R_Axis_L,R_L,revolute,0,-0.0344999999999997,0.16777798973535,0,0,0,Abduction_L,0,0,1,60,18.85,3.1415,-3.1415,,,,,,,,
Calf_L,-0.00264406421064045,0.0611733687460123,-0.164093531357484,0,0,0,2.78275474946527,0.0252612472548964,-7.79067541193254E-07,-0.000374661304280883,0.0252796388579601,-4.1619590430814E-05,0.00772981792688854,0,0,0,0,0,0,package://LEGR/meshes/Calf_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LEGR/meshes/Calf_L.STL,,LEGR Bottom Ankle Motor-4;LEGR Top Ankle Motor-3;LEGR Calf Shell-2,Calf_Coordinate_System_L,Knee_Axis_L,Knee_L,revolute,0,-0.0610000000000004,0.154223220936442,3.14159265358979,0,3.14159265358979,Rotation_L,0,-1,0,222,2.93,0,1.0472,,,,,,,,
Universal_Roll_L,1.29933841463981E-10,2.14348409049991E-07,0.0299010093092332,0,0,0,0.24334410427355,0.000267985027545248,-1.70796236326147E-11,4.631132791759E-12,0.000289452319590034,-5.31582949428168E-12,0.000157832093058897,0,0,0,0,0,0,package://LEGR/meshes/Universal_Roll_L.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Universal_Roll_L.STL,,LEGR Universal Joint-3,Ankle_Coordinate_System_L,Ankle_Roll_Axis_R,U_R_L,revolute,0,0.0609997857977665,-0.333411729469431,-3.14159265358979,0,3.14159265358979,Calf_L,1,0,0,120,18.85,0.7854,-0.7854,,,,,,,,
Foot_L,0.0598634582000981,-2.38831173235421E-06,0.0287102806905618,0,0,0,1.5066129434386,0.00210335176155756,9.66489000618252E-19,2.46680887023539E-05,0.00707231547859419,6.07596965342924E-19,0.00815282787440376,0,0,0,0,0,0,package://LEGR/meshes/Foot_L.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://LEGR/meshes/Foot_L.STL,,LEGR Foot-3,Foot_Coordinate_System_L,Axis_U_P_L,U_P_L,fixed,0,0,0.0631508128084964,0,0,-3.14159265358979,Universal_Roll_L,0,0,0,120,18.85,-0.7854,0.5236,,,,,,,,
